Cod_setor,Cod_Grandes Regiões,Nome_Grande_Regiao,Cod_UF,Nome_da_UF,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,X34
292740805060018,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,277,864,3.12,2.46,731.2,372465.76,794.29,354422.46,458.83,278460.54,696.85,257005.88,NA
292740805060019,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,1,176,615,3.49,3.06,492.35,114817.48,577.69,85222.06,318.91,109154.51,539.93,65330.99,NA
292740805060020,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,274,853,3.11,2.61,590.97,420696.85,729.4,418260.35,463.96,291071.3,688.33,277364.74,NA
292740805060021,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,310,1055,3.4,2.85,648.32,327395.87,720.35,311826.79,406.69,228801.52,636.65,211743.21,NA
292740805060022,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,1,142,446,3.14,2.35,619.28,385586.39,732.82,372971.78,402.22,307282.27,689.52,328763.8,NA
292740805060023,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,175,556,3.18,2.66,708.23,391988.22,784.43,374277.06,413.67,254422.03,672.9,239370.74,NA
292740805060024,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,220,741,3.37,3.04,747.3,601852.07,888.68,590009.27,505,402986.72,789.29,405464.95,NA
292740805060025,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,238,721,3.03,2.84,1736.47,3682392.44,1895.78,3718376.45,968.98,2314756.67,1471.75,2776940.66,NA
292740805060026,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,273,688,2.52,1.81,2053.97,2043867.52,2356.02,1631056.26,1432.85,1923361.78,1993.67,1557293.52,NA
292740805060027,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,209,463,2.22,1.78,2541.97,3908939.78,2752.7,3651578.94,1685.54,3242538.79,2183.87,3112529.19,NA
292740805060028,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,141,427,3.03,2.63,971.67,1773969.42,1191.35,1914546.51,583.01,882915.87,979.96,1095967.67,NA
292740805060029,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,144,475,3.3,3.22,1245.74,2245847.61,1412.49,2311454.12,723.69,1308235.32,1173.33,1594544.35,NA
292740805060030,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,334,1056,3.16,2.87,834.28,594492.97,887.42,585172.84,512.07,396895.27,785.68,393989.38,NA
292740805060031,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,144,439,3.05,2.1,889.1,558348.16,941.4,541835.84,529.02,402193.27,812.64,387281.31,NA
